%date	retm	tnam
19811030	0.10449	90.44
19811130	0.04412	90.44
19811231	-0.02535	107.25
19820129	-0.02938	107.25
19820226	-0.02333	107.25
19820331	0	115.78
19820430	0.08283	115.78
19820528	-0.02929	115.78
19820630	0.00365	146.82
19820730	-0.00468	146.82
19820831	0.09238	146.82
19820930	0.03966	231.16
19821029	0.14384	231.16
19821130	0.10888	231.16
19821231	0.03261	458.43
19830131	0.0607	458.43
19830228	0.0612	458.43
19830331	0.06764	797.6
19830429	0.10511	797.6
19830531	0.03291	797.6
19830630	0.05277	1351.9
19830729	-0.0347	1351.9
19830831	-0.02237	1351.9
19830930	0.03351	1477.9
19831031	-0.04349	1477.9
19831130	0.04492	1477.9
19831230	-0.01556	1606
19840131	-0.00911	1606
19840229	-0.06488	1606
19840330	0.01792	1604.11
19840430	-0.00795	1604.11
19840531	-0.06822	1604.11
19840629	0.0323	1617.6
19840731	-0.01581	1617.6
19840831	0.11658	1617.6
19840928	0.00184	1891.91
19841031	0.01284	1891.91
19841130	-0.01207	1891.91
19841231	0.02902	1954.4
19850131	0.10122	1954.4
19850228	0.00701	1954.4
19850329	0.00883	2359.03
19850430	0.00531	2359.03
19850531	0.05406	2359.03
19850628	0.02991	2878.48
19850731	0.00752	2878.48
19850830	0.00489	2878.48
19850930	-0.04686	2961.97
19851031	0.06475	2961.97
19851129	0.08453	2961.97
19851231	0.05188	4136
19860131	0.03937	4136
19860228	0.10343	4136
19860331	0.06731	5998.5
19860430	0.00452	5998.5
19860530	0.03286	5998.5
19860630	0.02384	7270.9
19860731	-0.0667	7270.9
19860829	0.06434	7270.9
19860930	-0.08501	6504
19861031	0.05225	6504
19861128	0.01005	6504
19861231	-0.01483	7405.5
19870130	0.13001	7405.5
19870227	0.07415	7405.5
19870331	0.01286	9843.9
19870430	-0.0162	9843.9
19870529	0.00102	9843.9
19870630	0.0414	10842.3
19870731	0.04887	10842.3
19870831	0.04016	10842.3
19870930	-0.02457	11589.5
19871030	-0.25805	11589.5
19871130	-0.07552	11589.5
19871231	0.09742	7800.1
19880129	0.03965	7800.1
19880229	0.06069	7800.1
19880331	-0.00271	8434.3
19880429	0.01791	8434.3
19880531	-0.00267	8434.3
19880630	0.06835	9257.4
19880729	-0.00648	9257.4
19880831	-0.03178	9257.4
19880930	0.04195	9016
19881031	0.02086	9016
19881130	-0.01349	9016
19881230	0.01965	8971.1
19890131	0.08113	8971.1
19890228	-0.01627	8971.1
19890331	0.02977	9622.2
19890428	0.05026	9622.2
19890531	0.0528	9622.2
19890630	-0.00868	10756.6
19890731	0.08402	10756.6
19890831	0.02616	10756.6
19890929	0.01731	12427.9
19891031	-0.0314	12427.9
19891130	0.01645	12427.9
19891229	0.00626	12699.6
19900131	-0.06449	12699.6
19900228	0.02054	12699.6
19900330	0.02555	13176.9
19900430	-0.02526	13176.9
19900531	0.08894	13176.9
19900629	0.00435	14038.9
19900731	-0.01132	14038.9
19900831	-0.09798	14038.9
19900928	-0.06346	11318.9
19901031	-0.01236	11318.9
19901130	0.07567	11318.9
19901231	0.03103	12325.7
19910131	0.06991	13122.3
19910228	0.08683	14292.5
